"","Distrito","mean_pred","mean_ll","pred_ul","SE"
"80","Distrito Norte",4.53385066907226,4.35231320184888,4.71601254650678,"201630"
"81","Distrito Sul",5.49945570342931,5.32220515869695,5.67684969599461,"201630"
"82","Distrito Centro",11.2272106568955,11.0493539429786,11.405228519675,"201730"
"83","Distrito Norte",11.1817848847705,11.001278205629,11.3619667884144,"201730"
"84","Distrito Sul",11.554553137207,11.3777452741354,11.7315876656743,"201730"
"85","Distrito Centro",13.9145422408083,13.7361932271012,14.0926583275507,"201830"
"86","Distrito Norte",13.6296076211716,13.4492486327776,13.8099680214438,"201830"
"87","Distrito Sul",14.2011184020401,14.0234117172792,14.3783884542341,"201830"
"88","Distrito Centro",13.4868354905012,13.3090165881003,13.6649448622911,"201930"
"89","Distrito Norte",13.4474660200216,13.2673918156236,13.6275899902121,"201930"
"90","Distrito Sul",13.7407395602656,13.5638413648301,13.9180007889523,"201930"
"91","Distrito Centro",13.3815114312518,13.2033331832912,13.5595323315223,"202030"
"92","Distrito Norte",13.401089641055,13.2185576778775,13.582800870038,"202030"
"93","Distrito Sul",13.5178876598513,13.3411216612773,13.6947215406647,"202030"
"94","Distrito Centro",5.22229204164269,5.04095980081142,5.40482160549447,"202130"
"95","Distrito Norte",5.10531787680942,4.92435785428883,5.28673167131544,"202130"
"96","Distrito Sul",5.85832881041472,5.68011052489719,6.03736272791879,"202130"
"97","Distrito Centro",14.2726847904656,14.0935240583496,14.4513520566061,"202230"
"98","Distrito Norte",13.8409906319043,13.6606763347086,14.0212911485948,"202230"
"99","Distrito Sul",14.6086069512336,14.429778699397,14.786731218222,"202230"
"100","Distrito Centro",12.830352407154,12.6511857696433,13.0090471696367,"202330"
"101","Distrito Norte",12.3178936481289,12.1374584060927,12.498282275277,"202330"
"102","Distrito Sul",13.1232429343066,12.945367137625,13.3006837475211,"202330"
"103","Distrito Centro",11.3154125823465,11.1360526486896,11.4947712167294,"202430"
"104","Distrito Norte",11.1584231094696,10.9766806195327,11.3399931395827,"202430"
"105","Distrito Sul",11.3635848679131,11.1849271051926,11.5427122972149,"202430"
"106","Distrito Centro",10.9171687259583,10.7273111090928,11.1072363823306,"202530"
"107","Distrito Norte",10.7708623920076,10.5781677708908,10.9633496444472,"202530"
"108","Distrito Sul",10.9952576269107,10.8066131712436,11.1841355574561,"202530"
"109","Distrito Centro",13.222892036684,13.0261703045767,13.4198054509447,"201431"
"110","Distrito Norte",13.0390415119939,12.8394807841191,13.2391341134136,"201431"
"111","Distrito Sul",13.5381761194621,13.3427459088752,13.7338189763799,"201431"
"112","Distrito Centro",14.7659385235541,14.5768693850327,14.9551425906119,"201531"
"113","Distrito Norte",15.0528897596933,14.8597474431342,15.2452052116603,"201531"
"114","Distrito Sul",14.7535829771088,14.5657989659059,14.9415903741533,"201531"
"115","Distrito Centro",10.4293521782572,10.2407753199502,10.6185661251324,"201631"
"116","Distrito Norte",10.4211883551142,10.2301406778139,10.612578875869,"201631"
"117","Distrito Sul",10.6819219029831,10.4947109138724,10.869347014646,"201631"
"118","Distrito Centro",12.6059878563073,12.4175635975508,12.7943642189618,"201731"
"119","Distrito Norte",12.0980362021796,11.9069798261444,12.2887532957512,"201731"
"120","Distrito Sul",13.0305151806657,12.8430202801087,13.2177201777118,"201731"
"121","Distrito Centro",12.1597660897188,11.9707937926151,12.3483803599007,"201831"
"122","Distrito Norte",11.6824131388327,11.4910925201395,11.8732571679762,"201831"
"123","Distrito Sul",12.5222265204403,12.3349861968899,12.7093446608369,"201831"
"124","Distrito Centro",7.63692436025758,7.44831352220779,7.82619958127062,"201931"
"125","Distrito Norte",6.92093557537723,6.72833259852307,7.11453326651606,"201931"
"126","Distrito Sul",8.2028434459731,8.0156375496661,8.390133875242,"201931"
"127","Distrito Centro",14.3684219790436,14.1790443004118,14.5573249981506,"202031"
"128","Distrito Norte",14.0957773934079,13.904489395564,14.286596932146,"202031"
"129","Distrito Sul",14.598068486564,14.4103858424423,14.785385070196,"202031"
"130","Distrito Centro",3.17544250566371,2.98702284702872,3.36438853078881,"202131"
"131","Distrito Norte",2.89305831595646,2.70204111038593,3.0837758008008,"202131"
"132","Distrito Sul",3.67725936139245,3.48991741471831,3.86515702079925,"202131"
"133","Distrito Centro",8.80880139772134,8.6202998535473,8.99792721588384,"202231"
"134","Distrito Norte",8.51541953666975,8.32458330761561,8.70619305458678,"202231"
"135","Distrito Sul",9.35072166427441,9.16360807771579,9.53814424084189,"202231"
"136","Distrito Centro",10.5892547968839,10.4008368232889,10.7780886712722,"202331"
"137","Distrito Norte",10.4347725732768,10.2436031245409,10.6256456984784,"202331"
"138","Distrito Sul",10.7921096108067,10.6048035372404,10.9798918162613,"202331"
"139","Distrito Centro",15.3267500845768,15.1354478554836,15.5172027750893,"202431"
"140","Distrito Norte",14.8153736536537,14.6234949112257,15.0070578533614,"202431"
"141","Distrito Sul",15.6087651837444,15.4190634491062,15.7976402600328,"202431"
"142","Distrito Centro",10.168193706582,9.97124924286298,10.3659455882947,"202531"
"143","Distrito Norte",10.0864285832132,9.88694149003677,10.2859538200193,"202531"
"144","Distrito Sul",10.3724782975982,10.1769217750608,10.568694338247,"202531"
"145","Distrito Centro",9.99700379055708,9.82904058492346,10.1652764267371,"201432"
"146","Distrito Norte",9.37243124126978,9.20208755657016,9.54303792857891,"201432"
"147","Distrito Sul",10.4741884578518,10.307237298621,10.6411132304843,"201432"
"148","Distrito Centro",13.9062233669357,13.7478872505066,14.0644665078897,"201532"
"149","Distrito Norte",13.8969024909337,13.7364056277783,14.0571313599698,"201532"
"150","Distrito Sul",14.0016916742591,13.8445427525756,14.1589465599952,"201532"
"151","Distrito Centro",13.6984746964727,13.5413703587732,13.855503076405,"201632"
"152","Distrito Norte",13.5617115483207,13.4024017127133,13.7207130254908,"201632"
"153","Distrito Sul",13.8643813500947,13.7083353020262,14.0205744268666,"201632"
